Kategorie: Alle Kategorien

Monat,Arbeitslosengeld: (Österreich)
2010-01,75
2010-02,82
2010-03,71
2010-04,61
2010-05,51
2010-06,64
2010-07,63
2010-08,65
2010-09,66
2010-10,59
2010-11,61
2010-12,48
2011-01,58
2011-02,60
2011-03,56
2011-04,54
2011-05,58
2011-06,54
2011-07,52
2011-08,70
2011-09,77
2011-10,67
2011-11,72
2011-12,62
2012-01,78
2012-02,67
2012-03,67
2012-04,55
2012-05,51
2012-06,56
2012-07,60
2012-08,60
2012-09,64
2012-10,64
2012-11,64
2012-12,51
2013-01,63
2013-02,64
2013-03,57
2013-04,57
2013-05,58
2013-06,58
2013-07,59
2013-08,57
2013-09,67
2013-10,71
2013-11,59
2013-12,46
2014-01,66
2014-02,69
2014-03,64
2014-04,56
2014-05,55
2014-06,57
2014-07,70
2014-08,65
2014-09,77
2014-10,68
2014-11,68
2014-12,56
2015-01,75
2015-02,72
2015-03,61
2015-04,70
2015-05,61
2015-06,58
2015-07,63
2015-08,62
2015-09,65
2015-10,64
2015-11,66
2015-12,49
2016-01,62
2016-02,65
2016-03,68
2016-04,66
2016-05,56
2016-06,59
2016-07,56
2016-08,55
2016-09,59
2016-10,55
2016-11,53
2016-12,46
2017-01,60
2017-02,68
2017-03,68
2017-04,59
2017-05,63
2017-06,59
2017-07,61
2017-08,57
2017-09,54
2017-10,44
2017-11,35
2017-12,33
2018-01,40
2018-02,37
2018-03,51
2018-04,60
2018-05,48
2018-06,42
2018-07,36
2018-08,30
2018-09,37
2018-10,35
2018-11,49
2018-12,37
2019-01,51
2019-02,53
2019-03,41
2019-04,55
2019-05,49
2019-06,50
2019-07,58
2019-08,46
2019-09,51
2019-10,61
2019-11,50
2019-12,36
2020-01,44
2020-02,41
2020-03,100
2020-04,60
2020-05,32
2020-06,37
2020-07,29
2020-08,21
2020-09,19
2020-10,23
2020-11,18
2020-12,16
2021-01,22
2021-02,15
2021-03,12
2021-04,8
2021-05,7
2021-06,7
2021-07,6
2021-08,7
2021-09,10
2021-10,8
2021-11,8
2021-12,6
2022-01,9
2022-02,9
2022-03,11
2022-04,8
2022-05,9
2022-06,9
2022-07,11
2022-08,11
2022-09,9
2022-10,10
2022-11,6
2022-12,7
2023-01,9
2023-02,9
2023-03,4
2023-04,2
2023-05,2
2023-06,2
2023-07,2
2023-08,4
2023-09,3
2023-10,4
2023-11,3
2023-12,7
2024-01,16
